,drug,AUC,spec,sens,threshold,Drug
0,STREPTOMYCIN,0.8543363165699718,0.7058823529411764,0.8364661654135338,0.65,STREPTOMYCIN
1,STREPTOMYCIN,0.8817481884057972,0.8129117259552042,0.853125,0.66,STREPTOMYCIN
2,STREPTOMYCIN,0.9549709457486126,0.9730807577268196,0.8838383838383839,0.65,STREPTOMYCIN
3,STREPTOMYCIN,0.8785273801631923,0.8506224066390041,0.7884615384615384,0.32,STREPTOMYCIN
4,STREPTOMYCIN,0.95056702091878,0.9410589410589412,0.8919597989949749,0.56,STREPTOMYCIN
0,KANAMYCIN,0.9137004337050806,0.933085501858736,0.825,0.56,KANAMYCIN
1,KANAMYCIN,0.8147921580188678,0.9754716981132076,0.6328125,0.64,KANAMYCIN
2,KANAMYCIN,0.888024370001509,0.9042553191489362,0.7978723404255319,0.58,KANAMYCIN
3,KANAMYCIN,0.9151105019701902,0.9487750556792872,0.7932692307692307,0.24,KANAMYCIN
4,KANAMYCIN,0.9007109550400092,0.98330550918197,0.8103448275862069,0.36,KANAMYCIN
0,MOXIFLOXACIN,0.89564961787184,0.8641975308641976,0.7936507936507936,0.53,MOXIFLOXACIN
1,MOXIFLOXACIN,0.7183185658355656,0.6682464454976303,0.7608695652173914,0.79,MOXIFLOXACIN
2,MOXIFLOXACIN,0.6780609922621758,0.9378698224852072,0.4384615384615385,0.3,MOXIFLOXACIN
3,MOXIFLOXACIN,0.830251572327044,0.7924528301886793,0.8133333333333334,0.3,MOXIFLOXACIN
4,MOXIFLOXACIN,0.8459485686559922,0.9388646288209608,0.7777777777777778,0.67,MOXIFLOXACIN
0,AMIKACIN,0.7341717508921376,0.9491193737769079,0.4411764705882353,0.62,AMIKACIN
1,AMIKACIN,0.8176625659050967,0.968365553602812,0.6071428571428571,0.38,AMIKACIN
2,AMIKACIN,0.8378936856660009,0.9487632508833922,0.6782608695652174,0.45,AMIKACIN
3,AMIKACIN,0.8977690288713912,0.9553805774278216,0.81,0.27,AMIKACIN
4,AMIKACIN,0.9776750761200522,0.9818181818181818,0.8947368421052632,0.18,AMIKACIN
0,RIFAMPICIN,0.9281589529291177,0.9042424242424244,0.9124024284475282,0.5700000000000001,RIFAMPICIN
1,RIFAMPICIN,0.9645278095795946,0.9669320269442744,0.8753623188405797,0.67,RIFAMPICIN
2,RIFAMPICIN,0.9596064581886172,0.9674740484429064,0.9230769230769232,0.62,RIFAMPICIN
3,RIFAMPICIN,0.9664055788569408,0.9567099567099568,0.9198443579766536,0.53,RIFAMPICIN
4,RIFAMPICIN,0.9674895859720228,0.9802414928649836,0.9166666666666666,0.7000000000000001,RIFAMPICIN
0,CIPROFLOXACIN,0.9241622574955908,1.0,0.8765432098765432,0.86,CIPROFLOXACIN
1,CIPROFLOXACIN,0.9444444444444444,0.7710843373493976,1.0,0.93,CIPROFLOXACIN
2,CIPROFLOXACIN,0.9958333333333332,0.9791666666666666,1.0,0.64,CIPROFLOXACIN
3,CIPROFLOXACIN,0.9583333333333334,0.8020833333333334,1.0,0.8200000000000001,CIPROFLOXACIN
4,CIPROFLOXACIN,1.0,1.0,1.0,0.4,CIPROFLOXACIN
0,ETHIONAMIDE,0.769251730339528,0.6141479099678457,0.8192090395480226,0.79,ETHIONAMIDE
1,ETHIONAMIDE,0.7773697610654131,0.9106280193236715,0.5540540540540541,0.32,ETHIONAMIDE
2,ETHIONAMIDE,0.7645525704129068,0.8152173913043479,0.6132075471698113,0.33,ETHIONAMIDE
3,ETHIONAMIDE,0.8371219150120616,0.8422712933753943,0.6882352941176471,0.25,ETHIONAMIDE
4,ETHIONAMIDE,0.8247951213881729,0.696048632218845,0.8670886075949367,0.65,ETHIONAMIDE
0,LEVOFLOXACIN,0.8432601880877744,0.6818181818181819,0.9310344827586208,0.78,LEVOFLOXACIN
1,LEVOFLOXACIN,0.9054054054054054,0.8918918918918919,0.7857142857142857,0.37,LEVOFLOXACIN
2,LEVOFLOXACIN,0.82,0.8200000000000001,1.0,0.85,LEVOFLOXACIN
3,LEVOFLOXACIN,0.9796511627906976,0.8604651162790697,1.0,0.75,LEVOFLOXACIN
4,LEVOFLOXACIN,0.8243243243243243,0.945945945945946,0.6428571428571429,0.36,LEVOFLOXACIN
0,CAPREOMYCIN,0.8764212907023577,0.8423645320197044,0.7924528301886793,0.52,CAPREOMYCIN
1,CAPREOMYCIN,0.7349507318893058,0.8506375227686703,0.5240963855421686,0.71,CAPREOMYCIN
2,CAPREOMYCIN,0.824639751552795,0.9165217391304348,0.6214285714285714,0.44,CAPREOMYCIN
3,CAPREOMYCIN,0.8824837876221276,0.8831168831168831,0.8142292490118577,0.36,CAPREOMYCIN
4,CAPREOMYCIN,0.9539809054777948,0.926905132192846,0.8611111111111112,0.59,CAPREOMYCIN
0,PYRAZINAMIDE,0.8791085747309109,0.8555045871559633,0.7933070866141733,0.24,PYRAZINAMIDE
1,PYRAZINAMIDE,0.8780474402417804,0.8677839851024208,0.7737704918032787,0.48,PYRAZINAMIDE
2,PYRAZINAMIDE,0.9297752079002078,0.8876689189189189,0.8461538461538461,0.62,PYRAZINAMIDE
3,PYRAZINAMIDE,0.9387240255165747,0.8418259023354565,0.9221967963386728,0.8,PYRAZINAMIDE
4,PYRAZINAMIDE,0.8181450593884257,0.9302501895375284,0.6166666666666667,0.77,PYRAZINAMIDE
0,OFLOXACIN,0.8260339696223316,0.9418103448275862,0.7142857142857143,0.33,OFLOXACIN
1,OFLOXACIN,0.8692205010854896,0.979757085020243,0.7898550724637681,0.26,OFLOXACIN
2,OFLOXACIN,0.8957324316914923,0.9263456090651558,0.8136200716845878,0.37,OFLOXACIN
3,OFLOXACIN,0.9303754154989246,0.9328358208955224,0.8558951965065502,0.29,OFLOXACIN
4,OFLOXACIN,0.5589654248190834,0.9343339587242028,0.2551020408163265,0.77,OFLOXACIN
0,ETHAMBUTOL,0.8390017791928084,0.8353510895883778,0.7403314917127072,0.51,ETHAMBUTOL
1,ETHAMBUTOL,0.8843559309866234,0.8403886190145732,0.8344827586206897,0.6900000000000001,ETHAMBUTOL
2,ETHAMBUTOL,0.8946608432829326,0.8050036791758646,0.9193548387096774,0.56,ETHAMBUTOL
3,ETHAMBUTOL,0.8986198219466075,0.8024911032028471,0.8811881188118812,0.7000000000000001,ETHAMBUTOL
4,ETHAMBUTOL,0.9648773006134971,0.9361963190184048,0.88,0.8200000000000001,ETHAMBUTOL
0,ISONIAZID,0.9231380840488426,0.915351506456241,0.9086687306501549,0.7000000000000001,ISONIAZID
1,ISONIAZID,0.9634772250563224,0.9856164383561644,0.8998109640831758,0.5700000000000001,ISONIAZID
2,ISONIAZID,0.9352214126492996,0.9775193798449612,0.8755364806866953,0.46,ISONIAZID
3,ISONIAZID,0.9678023089877072,0.9432515337423312,0.943904263275991,0.6,ISONIAZID
4,ISONIAZID,0.9539900867410162,0.9640644361833952,0.904,0.74,ISONIAZID
